Jahr,Sentinella Woche,Konsultationen pro 100 000 Einwohner
2021,26,10
2021,27,12
2021,28,22.7
2021,29,24.3
2021,30,9.5
2021,31,9.7
2021,32,23.9
2021,33,32.1
2021,34,37.8
2021,35,34
2021,36,45.3
2021,37,38.9
2021,38,39
2021,39,34.8
2021,40,23.9
2021,41,25.5
2021,42,26.7
2021,43,49.7
2021,44,46
2021,45,48.9
2021,46,60.4
2021,47,99.3
2021,48,80
2021,49,66.1
2021,50,66.2
2021,51,81
2021,52,52.9
2022,1,83.5
2022,2,93.9
2022,3,102.8
2022,4,116.1
2022,5,121.9
2022,6,91.4
2022,7,65.4
2022,8,76
2022,9,90.2
2022,10,116.6
2022,11,143.2
2022,12,129.7
2022,13,104.9
2022,14,82.9
2022,15,80.4
2022,16,52.5
2022,17,44.2
2022,18,37.6
2022,19,28.7
2022,20,29.1
2022,21,18.9
2022,22,22.9
2022,23,34.8
2022,24,38.9
2022,25,39.8
